iter	Passed	Remaining
0	1	183
1	3	165
2	4	156
3	6	151
4	7	149
5	9	145
6	10	144
7	12	142
8	13	139
9	15	137
10	16	135
11	18	134
12	19	132
13	21	132
14	22	130
15	24	128
16	25	126
17	27	125
18	28	123
19	30	121
20	31	120
21	33	118
22	34	116
23	35	113
24	36	110
25	37	107
26	38	105
27	39	102
28	40	100
29	42	98
30	43	95
31	44	93
32	45	91
33	46	89
34	47	87
35	48	85
36	49	83
37	50	81
38	51	79
39	52	78
40	53	76
41	53	73
42	54	72
43	55	70
44	56	68
45	57	67
46	58	65
47	59	64
48	60	62
49	61	61
50	63	60
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
